username,bio,follower_count,following_count
john_doe,Fitness enthusiast 💪 Personal trainer | Helping you transform,1250,450
jane_smith,Yoga instructor 🧘‍♀️ | Wellness coach | Mindful living advocate,3420,890
mike_jones,Nutrition expert 🥗 Helping you eat better and live healthier,892,234
sarah_williams,Marathon runner 🏃‍♀️ Health blogger | Running tips & motivation,2103,567
david_brown,CrossFit athlete | Strength training | Fitness motivation daily,1876,432
emily_davis,Plant-based nutrition | Vegan recipes | Sustainable living,2341,678
chris_wilson,HIIT workout coach | Fat loss specialist | Online training,1523,389
lisa_moore,Pilates instructor | Core strength | Flexibility training,1987,543
kevin_taylor,Bodybuilding enthusiast | Muscle gain tips | Gym motivation,3210,721
michelle_anderson,Wellness blogger | Self-care advocate | Healthy lifestyle tips,1654,478
